DNN,Sat,Sun,Holiday,night,START_TIME,END_TIME
cmiot5gjddqnb.zj,0,0,1,1,22:25:00,7:41:00
cmiot5ghczc.zj,0,1,1,1,17:28:00,7:10:00
cmiot5gjhwcwbgc.zj,0,0,1,1,18:37:00,7:43:00
cmiot5gbyjtyxgs.zj,0,0,1,1,20:48:00,6:29:00
cmiot5gftcj2.zj,0,0,0,0,,
cmiot5gjhdyxzyy.zj,0,0,0,1,18:17:51,7:45:50
cmiot5glhlyyabc.zj,0,0,0,1,21:43:00,8:40:00
cmiot5gnbfhyy.zj,0,0,0,1,20:25:00,7:50:00
cmiot5gsxyczdyl.zj,0,0,1,1,20:53:20,6:57:30
cmiot5gtps520.zj,0,0,1,1,21:45:00,7:40:00
cmiot5gwzgajcs.zj,0,0,0,1,21:57:30,7:37:00
cmiot5gzjjsxcls.zj,0,0,0,0,,
cmiot5gzhlhnb.zj,1,1,1,1,21:50:00,7:55:00
cmnet ,0,0,0,1,23:42:50,6:31:40
huz5gsyzwzhcsyjy.zj,0,0,0,1,2:24:00,7:49:00
nb5gsyzwcj01.zj,0,0,0,1,,
nb5gsyzwgdxseq,0,0,0,1,1:46:15,7:46:15
nb5gsyzwnbu.zj,0,0,0,1,1:52:00,6:04:00
sx5gsyzwsznsh.zj,0,0,0,1,0:42:00,6:06:00
zju5g.zj,0,0,0,1,2:26:00,6:34:00
nb5gsyzwzjfz.zj,0,0,0,1,2:36:40,6:40:00
cmiot5gjhhhslgs.zj,1,1,1,1,21:48:20,8:20:00
cmiot5gwzztsc.zj,1,1,1,1,22:58:20,6:52:30
